c_custkey	c_name	revenue	c_acctbal	n_name	c_address	c_phone	c_comment
1574	Customer#000001574	269578.4322	1204.82	INDIA	hgovcHRlq4 y	18-753-101-5745	e regular courts affix after the thinly ironic reque
295	Customer#000000295	267367.3852	9497.89	ALGERIA	mk649IH6njR14woTVZ1cxtlNs URxBHD5o5z2	10-340-773-4322	play according to the quickly ironic instructions-- unusual, bol
2227	Customer#000002227	266829.9102	-147.42	CANADA	 SEYwZbWYuJ,02oKOpjUCFuum	13-157-687-8744	 final, ironic ideas. special accounts haggle slyly across the notornis. express theodolites haggle furiously 
169	Customer#000000169	264268.9508	4483.83	CHINA	NjhmHa7xrcjE	28-362-499-3728	fully unusual pinto beans. blithely express asymptotes lose carefully regular instructions? accounts b
1127	Customer#000001127	261559.4551	8631.35	IRAN	nq1w3VhKie4I3ZquEIZuz1 5CWn	20-830-875-6204	endencies. express instructions wake about th
898	Customer#000000898	261295.7458	8137.24	CANADA	JrvrIEzAre,VJzJCi3SEmib1T2,YVXVvOGxaVZwR	13-265-738-4361	s haggle around the special dependencies. slyly regular requests are according to the idly sly ideas! fluffily final
928	Customer#000000928	260949.1708	8330.70	VIETNAM	A9 UduEb48ffOe27FxMXF	31-508-509-6393	 instructions cajole fluffily alongside of the blithely regular re
770	Customer#000000770	256282.9658	2066.79	INDIA	IjwJR6TjBJZbKIeouH2d	18-856-112-5677	dolites haggle express, express requests. furiou
805	Customer#000000805	255852.0496	511.69	IRAN	wCKx5zcHvwpSffyc9qfi9dvqcm9LT,cLAG	20-732-989-5653	busy sentiments. pending packages haggle among the express requests-- slyly regular excuses above the slyl
1876	Customer#000001876	254745.4525	90.46	GERMANY	pUsteCJxfoVJ	17-965-399-4552	s. ironic theodolites around the specia
49	Customer#000000049	253457.9074	4573.94	IRAN	cNgAeX7Fqrdf7HQN9EwjUa4nxT,68L FKAxzl	20-908-631-4424	nusual foxes! fluffily pending packages maintain to the regular 
703	Customer#000000703	253000.2449	3998.42	FRANCE	ge1GEYt4ewGUiSeqBA4rNB5JhyQ92uKF	16-741-513-6919	arefully final accounts cajole quickly blith
568	Customer#000000568	249466.7554	1317.56	JORDAN	ZddVCnzeABTTBgV3GvkvNtw9,KOHHpME2GELhz	23-603-795-8611	gular decoys haggle slyly. blithely special packages slee
716	Customer#000000716	237739.8774	8364.99	JAPAN	jbXpMEcV9j,6ciftBXEMXDjE	22-501-849-6084	as. even accounts about the slyly pending excuses lose bl
1309	Customer#000001309	235607.7997	-922.69	IRAN	xaOhk73bjekYrVc5zZ36c,GuZUxsMHjo7WH9WVe	20-821-905-5952	nusual excuses. ironic deposits are furiously ironic frays. blithely ironic platelets are evenly regular package
1036	Customer#000001036	233836.3852	1766.23	INDIA	fxujgj8DOFO6oKrH	18-791-577-7691	ins sleep. slyly express platelets cajol
1279	Customer#000001279	233203.2363	7915.06	KENYA	fkrzLacsqCnwUwgjjttKmY	24-742-587-6985	tes are. ideas above the carefully ironic d
778	Customer#000000778	232735.1400	52.43	UNITED KINGDOM	tCuRA2W9y5iiGrcT7a4TzK	33-702-179-3134	hely ironic instructions. regular, ironic requests affix along the carefully 
1690	Customer#000001690	231288.4885	-381.24	ARGENTINA	v2dVbJH3RxbBj5Wk5btJdzv9K35jXAoxhRYVthO	11-869-223-3212	riously throughout the slyly express accounts. slyl
1984	Customer#000001984	230192.1593	8661.08	JORDAN	MAqwYLxOBbMoyAWwvjEZK9QYgRMbhtFkdHbiR	23-768-636-1831	y unusual requests. furiously ironic deposits haggle quickly a
392	Customer#000000392	229652.1624	8492.33	PERU	H7M6JObndO	27-601-793-2507	efully bold ideas. bold requests sleep carefully blithe instructions. carefully final accounts are blithely quickly 
2024	Customer#000002024	228820.5870	-167.00	FRANCE	zR5rsmoRte	16-534-640-2268	 ironic dependencies. instructions doze blithely among 
1445	Customer#000001445	227705.5010	8367.94	VIETNAM	5y7gtM75FOfTSBKx9gs9c9MkqJt	31-151-251-1931	carefully regular accounts after the b
1301	Customer#000001301	226289.5170	8966.63	IRAN	oR0kHfL6GWhF VPD,mM1Jxsd9l3nZEkfDn	20-339-347-9046	egular asymptotes along the even, express packages sleep express realms; carefully final packages haggle quickly
634	Customer#000000634	224012.7846	6397.58	SAUDI ARABIA	O09TejHJ6UszNfmqTR cmal8zcs	30-997-704-1110	e above the regular deposits. slyly even requests integrate slyly blithely express forges. regular platele
356	Customer#000000356	223861.1532	2934.06	IRAN	9RfNXUJivKTonL2bp1eG5IT	20-415-457-4421	al packages haggle always. daringly bold inst
1487	Customer#000001487	223360.0248	3589.16	PERU	AJXUi2qFVKfypmmpTEbkmjmz0gPKQ2	27-197-562-5547	y final instructions. regular, regular packages boost alongside of the b
2104	Customer#000002104	222338.9884	5533.39	UNITED STATES	5OZFQ dlhF4	34-786-781-9766	y regular asymptotes. final platel
646	Customer#000000646	221870.8536	6074.42	BRAZIL	gogI8kweD 2H6U,01lbIp0UWUwljSue,KRcC	12-177-329-4316	ptotes. silent requests cajole fluffily along the slyly permanent ideas. pending instr
1087	Customer#000001087	220373.0943	5878.21	VIETNAM	ETOH68urIxK839xmKEmfkjc	31-334-391-6403	s haggle above the slyly express requests. quickly regular packages after the quickly silent accoun
2158	Customer#000002158	219780.6272	5638.81	INDIA	TGxcJCq8yrFE0gwagTqci8pFBHSaI6ie 10riufr	18-757-535-6398	al theodolites according to the fur
1787	Customer#000001787	219488.1714	4120.78	SAUDI ARABIA	l9Rin,i89mx8LxSK0cC0BPi3OBcM3BXp	30-258-449-6408	ts above the quickly regular instructions cajole about the attainments. carefully
1211	Customer#000001211	219112.0173	4723.37	CHINA	HCACb3Al89h6NqHUJ8qIjhfGFyA4S0c2	28-280-785-7324	posits. packages affix carefully after the carefully
542	Customer#000000542	219003.9656	3109.96	MOZAMBIQUE	XU2ffxnW3TQasrfF0u2KwKWmMarPyY4q7Q	26-674-545-2517	r forges! requests alongside of the bold, final deposits
2023	Customer#000002023	218487.1344	-382.76	MOZAMBIQUE	SL0Lc5frokhdhoqTqKerHsU6XQusoS	26-376-733-5140	ously final accounts boost quickly ironic foxes. quickly bold braids wa
662	Customer#000000662	217743.9228	4517.33	ALGERIA	ss AgOrB5VFubLk bsmTgbw2ddJD	10-728-355-4532	ckages haggle: quickly regular ideas are after the furi
422	Customer#000000422	217352.0232	-272.14	INDONESIA	AyNzZBvmIDo42JtjP9xzaK3pnvkh Qc0o08ssnvq	19-299-247-2444	eposits; furiously ironic packages accordi
1642	Customer#000001642	215410.0731	6248.64	INDONESIA	UgLWC4Pw,XZX52b8hcEixGxk,J	19-134-303-4344	uick requests. furiously ironi
197	Customer#000000197	215364.9706	9860.22	ARGENTINA	UeVqssepNuXmtZ38D	11-107-312-6585	ickly final accounts cajole. furiously re
1033	Customer#000001033	212366.5103	81.06	INDIA	WOozPuOF8UdYMwjF5	18-470-380-2978	 to the quickly final packages. carefully slow accounts use blithely slowly permanent requests. un
2164	Customer#000002164	212255.6478	588.88	CANADA	GH3xzMl7iZmO 57FxA39ADAOcew,v,dT	13-258-868-1537	ickly ironic braids. furiously bold gifts nag. packages believe along the blit
1498	Customer#000001498	210292.3455	5810.56	ROMANIA	x XToT5oFi7oIsRG2mgIL3ncvYJoWBsufsQ7N,z	29-676-227-6356	ackages are slyly unusual req
2071	Customer#000002071	210283.8247	-455.22	JAPAN	0g5mpIwGXQwMm6imHv63b5NHu64Ej2N	22-899-598-1520	y silent deposits. furiously unusual accounts integrate slyly. ex
1958	Customer#000001958	203574.7353	8425.51	EGYPT	P8lsQKRVNyrMTYEgXU7W	14-218-444-2269	quests across the accounts need to haggle carefully regular deposits. careful accounts boost carefully fin
1207	Customer#000001207	202860.5414	-556.05	CANADA	tDZe2FlIxGjrf9x,n6N1tu0DbWyUkSSu	13-572-474-7362	uriously by the slyly regular packages. fluffily final deposits across the quickly express epitaphs us
334	Customer#000000334	199852.9850	-405.91	EGYPT	OPN1N7t4aQ23TnCpc	14-947-291-5002	fully busily special ideas. carefully final excuses lose slyly carefully express accounts. even, ironic platelets ar
1160	Customer#000001160	199457.6250	4976.24	UNITED STATES	v65g1aRCGA76ZHySoOBffL31n4vJ0nm,tK,UEA	34-103-942-4634	 pending, special packages against the blithely unusual packages eat quic
1151	Customer#000001151	199323.8496	6354.89	GERMANY	ratQBQ4rYv TfhWfHe	17-948-135-2667	l requests. furiously bold orbits after the furiously ironic excuses sleep
1735	Customer#000001735	195660.9672	7495.94	IRAN	59,bPx BNSZ1YJ9thet9N	20-343-415-9202	efully along the special realms. ruthlessly brave courts cajole carefully carefully silent reques
2209	Customer#000002209	195617.4405	6080.07	ROMANIA	Tn6ocW5 Mc sbYGx5S8fTT7Vv,PAIoOWWDH4zhj	29-510-267-8404	lyly blithely bold deposits. carefully silent foxes are somas. regular deposits sleep against the 
370	Customer#000000370	195062.2438	8982.79	JAPAN	oyAPndV IN	22-524-280-8721	ges. final packages haggle quickly. slyly bold 
1708	Customer#000001708	193920.1153	9702.83	BRAZIL	BdT2freRSXKa31JLnSBliCXmhi8J	12-857-766-2851	 always. requests are furiously packages. slyly regular tithes c
41	Customer#000000041	193252.0487	270.95	IRAN	IM9mzmyoxeBmvNw8lA7G3Ydska2nkZF	20-917-711-4011	ly regular accounts hang bold, silent packages. unusual foxes haggle slyly above the special, final depo
1159	Customer#000001159	191398.6970	5553.75	BRAZIL	IAnWq4YFKs7	12-269-807-3861	ages sleep fluffily. packages after the carefully express packages nag slyl
1669	Customer#000001669	190154.2840	9180.72	FRANCE	i38,,EDjrqVpk1UKXsl9cCdAwS,HpcFqPS	16-172-628-3560	quickly unusual packages are. furiously express ins
427	Customer#000000427	188821.7063	4376.80	BRAZIL	LHzXa71U2AGqfbqj1yYYqw2MEXq99dWmY	12-124-309-3821	y even multipliers according to the regu
1678	Customer#000001678	187628.1057	3396.57	EGYPT	xq R0 eIkV019MjY8yRdj r,Gfd	14-624-973-2343	sits. fluffily even instructions are again
775	Customer#000000775	184670.0696	1376.67	PERU	Cg3M4gTXeIY7llMN2puop7D2	27-903-936-7924	ts. blithely regular requests upon the ironic, final courts haggle sly, regular deposits. final requests 
817	Customer#000000817	183417.3301	7297.64	ALGERIA	jDJt0Wfk0,Wcx5HOI5itS XqUJmMpjzJ	10-566-341-4382	y against the carefully special patterns. unusual accounts sleep quickly final instructions. 
1165	Customer#000001165	183402.3930	8177.33	INDONESIA	h7KTXGSqsn0	19-766-409-6769	jole slyly beside the quickly final accounts. silent, even requests are stealthily ironic, re
653	Customer#000000653	183104.4366	7307.55	IRAQ	la,ROBPJ4I2YNzQw,RpbB0sTOjyv3F ZBeWRiQ	21-715-573-6928	aggle bravely deposits. even du
2161	Customer#000002161	180541.9579	5119.73	CHINA	nchKQGj2cgPrTM8q3erzWy	28-742-989-7821	ily ironic requests after the daringly final pinto beans haggle slyly along the regular requests. ev
1003	Customer#000001003	177049.1942	7894.00	VIETNAM	lE07lPMzVzMhG9CUC54uPwGw3BWO	31-716-397-1854	quests sublate blithely blithely special dependencies. excuses use busily express pinto bea
763	Customer#000000763	176994.2506	2650.27	ARGENTINA	ACMrkbcf3a2J3aobVEmU5hGnHuc	11-232-719-3610	 ironic asymptotes are. slyly bold realms alongside of the fluffily specia
958	Customer#000000958	176930.4756	1791.65	ETHIOPIA	OrOUBBV7NlzVFXtuSOECmQFOkw8r	15-455-954-2914	s deposits. blithely even packages sleep carefully ironic deposits. quickly ironic accou
1189	Customer#000001189	175850.2958	3798.28	IRAN	rbnZCbJSTE3qWLl	20-746-804-1553	enticingly express platelets wake. regular requests boost even, regular instructions. express dependencies a
1039	Customer#000001039	174381.3654	7618.54	IRAN	F602TgKjElSWrZ	20-871-886-9220	nding packages use. blithely regular sheaves doze blithely. fluffi
1501	Customer#000001501	173882.7569	9734.53	IRAN	tLJmtj5OgXCQM	20-489-284-9686	longside of the furiously ruthless deposits slee
1870	Customer#000001870	173073.6255	4739.19	ARGENTINA	iAG9OC,akOL06jR	11-950-597-6395	 epitaphs according to the slyly regular foxe
532	Customer#000000532	172564.1651	1725.68	MOROCCO	xwWO3lWjgVJTZwhnltyH6zj5ddkzgH8RbF	25-875-978-2232	usly regular deposits kindle. quickly even depos
1727	Customer#000001727	171268.5737	3628.03	UNITED KINGDOM	g7iJ1HSEmxE1sd4lWLV XcE64HA2JHYqPEJBA	33-952-217-5029	e regular excuses detect carefully spe
211	Customer#000000211	169502.7877	4198.72	JORDAN	URhlVPzz4FqXem	23-965-335-9471	furiously regular foxes boost fluffily special ideas. carefully regular dependencies are. slyly ironic 
2009	Customer#000002009	169263.6168	9270.23	UNITED STATES	D0Rg4xaqnzoAZno2I5P0BBN5KbvNGpOKk	34-184-907-5863	d requests. slyly final pinto beans doubt about the quickly unusual asymptotes. even, even
914	Customer#000000914	169241.7546	1230.79	ETHIOPIA	 LErnJFeOuDeMgvVzPKHS	15-915-758-7313	accounts. slyly final attainments boost slyly express, pen
1945	Customer#000001945	168301.2053	9880.10	IRAN	ghlnLGw i,LV,MAuts8Ii7XE4WaoExoa	20-470-267-5365	iously bold pinto beans cajole slyly warthogs. silent, special accounts detect evenly across the ironic pl
1859	Customer#000001859	167934.2446	4508.50	ARGENTINA	MV0YXkg6XVwBzeXMljCiLp	11-147-516-2776	t ideas. bold deposits across the quickly slow excuses haggle slyly unusual packages. furiously final ideas caj
1913	Customer#000001913	167176.8361	8031.55	INDIA	3Ya7Xzjzd,JayN,jN	18-831-659-1744	y express platelets. quickly ironic requests hinder quickly against the carefully bold deposits. acc
230	Customer#000000230	166072.6714	1682.83	VIETNAM	CnR8xt3MYqID0tiHwYh	31-744-950-8047	c decoys impress even deposits. thinly final asymptotes 
1421	Customer#000001421	165903.5568	7292.93	JAPAN	Qx9tZ9yiMo	22-139-990-1907	kly even ideas cajole carefully quickly ironic 
7	Customer#000000007	165141.9489	9561.95	CHINA	TcGe5gaZNgVePxU5kRrvXBfkasDTea	28-190-982-9759	ainst the ironic, express theodolites. express, even pinto beans among the exp
829	Customer#000000829	163638.1318	4086.56	INDIA	4oht3f64ZWA1,ACbBP9DNxjjG1CbIqOCK	18-404-707-6095	deposits cajole slyly ironic, express packages. asymptotes cajole ruthlessly 
490	Customer#000000490	162226.5192	-213.85	RUSSIA	 66fG3Fyb946cVQsH9Z3VMNzR,yfHMKIEB	32-268-147-7824	ash carefully never bold instructions. regular, bold asymptotes cajole regularly. quickly bold foxes wak
491	Customer#000000491	161439.7472	785.37	ALGERIA	r3zPOuenxHl0oqInxWlEyLP1ZH	10-856-259-7548	 slyly special requests hang dogged, express epitaphs.
1138	Customer#000001138	160621.9860	6035.44	RUSSIA	8 9P,dIGWnrrDiVs0S	32-236-817-2959	 instructions cajole thinly ironic requests. regular packages affix. ironic, final pinto beans ac
1489	Customer#000001489	160285.8149	4389.66	INDONESIA	yM8biIU5IFKHODCGTCwdkUf	19-906-669-4354	ckages play carefully? permanently regular pinto beans
1088	Customer#000001088	160031.6520	2098.62	RUSSIA	YjXQtOJoM0nhClEy0,WFdNxvJ1g6xpn kL2ommEv	32-324-225-2635	ly special ideas. slyly unusual requests haggle
1652	Customer#000001652	159859.2183	4335.18	GERMANY	uDJ6cxL10W sEd4,O7,rdoxst2Sp1Ij72Jb1	17-670-200-2924	ainst the close pinto beans. furiously final asymptotes across the even deposits 
239	Customer#000000239	159144.1200	5398.77	INDONESIA	w8eRmMOmUTjVOkucbfcGDh2AqCixTOC	19-699-117-6988	uctions. furiously even dolphins haggle fluffily according to the furiously regular dep
1490	Customer#000001490	158472.3330	8997.60	SAUDI ARABIA	vBUkY7eCyWP	30-326-598-2437	 bold orbits boost slyly according to the carefully ironic accounts. slyly special packages whithout the 
520	Customer#000000520	158307.7563	8315.09	CANADA	yaOGc9Ve92Bi4F6e0GcheU2MmEOXJE0zqyDT sEA	13-612-111-7765	 haggle across the even, bold instructions. final, even ideas might wake blithely against the 
1223	Customer#000001223	158017.5976	-413.03	IRAQ	,I0bRfCGE5ssaX4V3	21-659-745-8411	oxes. bold foxes detect always furiously special platelets. fluffily bold depende
1925	Customer#000001925	157848.1592	8891.65	ALGERIA	qZ8m0grVeRJN9h6Bn	10-814-492-1424	its sleep among the regular packages. fluffily final depende
1604	Customer#000001604	157714.9068	9079.75	FRANCE	DXn5Lr8KjjMebZznHhSsX3n7T6J8UkWdYw	16-960-140-9357	odolites. final frets need to grow according to 
1846	Customer#000001846	157147.6216	7115.80	MOZAMBIQUE	v0hJC6rlPBHdWAUGg7xm7SEUhpI3wWIO2	26-860-238-2408	riously regular deposits wake regularly above the slyly unusual requests: unusual packages are furiously furiousl
901	Customer#000000901	156760.5387	938.35	JAPAN	QUyXt94YM6Ou6rDqK	22-202-667-4372	 foxes maintain. theodolites sleep above the regular deposits. slyly bold excuses boost careful
1900	Customer#000001900	156376.3408	-57.96	VIETNAM	lf78mUY8AHVrPld7M8Ysotn9WoXwKoN	31-565-138-3230	kly regular accounts. requests use furiously alongside of the carefu
1238	Customer#000001238	155702.6460	4299.22	FRANCE	HGCJI27,RIIQcS20,DcJbMQuUmN3Vhzdm	16-302-171-7578	ly special requests. unusual, special asymptotes according to the blithely express pinto beans wake en
1019	Customer#000001019	154636.3880	2114.53	VIETNAM	VMFs38VlBt01g30PzPyliiAoGHazC4HG74JJ	31-502-683-3413	quickly special ideas about the courts use of the pending instructions. furiously final accounts c
2119	Customer#000002119	154405.1383	7815.78	IRAQ	z4aA4r9JSUU4HSn7,Pnx85BrTnDbIm0og9Ol	21-477-568-8362	efully bold asymptotes cajole furiously quickly silent gifts. furiously i
1838	Customer#000001838	154151.6485	7142.14	VIETNAM	4nF9mi2bj3s82Sv8KPgIsS	31-194-756-6301	 deposits. regular requests nag slyly-- regular accounts are furiously acr
1180	Customer#000001180	152517.7640	3367.36	JORDAN	jI4QtviiCs0,LOgUPH4aONMnoNt	23-188-767-6645	uests poach carefully carefully final deposits: ironic, regular deposits are slyly busy excuses. regular
1307	Customer#000001307	151361.3416	4344.52	CANADA	L OAVSFQauP87kLdHouM8	13-970-299-8199	ts. brave, express packages boost. even, pending instructions nag blithely regular theodolite
430	Customer#000000430	151276.4876	7905.17	CANADA	s2yfPEGGOqHfgkVSs5Rs6 qh,SuVmR	13-406-611-4228	ly slyly ironic attainments. slyly special instructions until the deposits nag quickly whithout the bo
917	Customer#000000917	150782.2785	3679.65	ARGENTINA	KZ TS0omSFmUQkIOmzlXhwQS,OcF3wzz5	11-100-917-5264	arefully fluffy pinto beans. enticingly silent requests affix furiously busily regular ide
772	Customer#000000772	150145.7762	7555.16	SAUDI ARABIA	TBxlR0AAHeSYl0vyK 8joF	30-405-614-4887	ular requests. final ideas sleep. regular, even platelets could haggle blithely bol
632	Customer#000000632	149009.2296	-487.92	CANADA	sUlni97rSK6DIL	13-310-645-6928	ld dependencies sleep slyly along the special requests. furiously regular asymptotes use furiously accounts.
1288	Customer#000001288	147166.7255	6603.43	CANADA	wQDTTCkSGxic2d66	13-533-256-9320	equests detect atop the ironic deposits. final requests according to the blithely sp
2069	Customer#000002069	147108.0136	4151.34	RUSSIA	uWyQnULICJNx,y,fdZoZRq5Tf	32-256-712-5982	ests. accounts boost fluffily across the regular deposits. accounts nag carefully 
1055	Customer#000001055	147049.0295	639.93	GERMANY	Z3AggyEMPME2hqqTfbMC76O0z	17-802-131-7180	dolphins: furiously ironic pinto beans above the carefully regular foxes nag slyly across th
833	Customer#000000833	146924.2852	-526.14	FRANCE	t3qDCo,Yh MZcJFV6PibeY,MUunz	16-624-307-4875	uickly final orbits across the blithely express accounts integrate furiously among the final sheaves. blithe
1261	Customer#000001261	146789.7020	5579.81	SAUDI ARABIA	mWs6m9QwmTOZ	30-372-895-4261	uffily final pinto beans. ironic deposits according to th
76	Customer#000000076	146684.6102	5745.33	ALGERIA	m3sbCvjMOHyaOofH,e UkGPtqc4	10-349-718-3044	pecial deposits. ironic ideas boost blithely according to the closely ironic theodolites! furiously final deposits n
1363	Customer#000001363	146010.6950	-112.46	JORDAN	mYa,yAtLmW2mCglfc7cZ8LrPuP0	23-964-365-7781	silent packages. blithely regular instructions haggle carefully slyly ironic forges? thin, br
1130	Customer#000001130	145912.1209	9519.36	RUSSIA	60zzrBpFXjvHzyv0WObH3h8LhYbOaRID58e	32-503-721-8203	s requests nag silently carefully special warhorses. special accounts hinder slyly. fluffily enticing
1970	Customer#000001970	145876.1834	5469.10	KENYA	V9aSisZGbj8fo	24-949-639-9364	grate furiously ironic orbits? final, pending deposits affix carefully express ideas. special, express pack
949	Customer#000000949	145197.8688	5340.67	BRAZIL	tOBbBIfhWM lNI3YxTYH8Or8Ki	12-391-316-1861	pecial, pending dolphins. slyly final ideas boost quickly. carefull
1741	Customer#000001741	144843.8983	-0.28	SAUDI ARABIA	W9G SogT0038gQBdoLtFsexbHqNl	30-605-828-6050	sits wake carefully final Tiresias. carefully unusual requests sleep 
884	Customer#000000884	144263.2650	1601.60	VIETNAM	5KyisO0Tv9ZtlJhzyI7vAe88	31-483-489-6172	 among the quickly express theodolites. accounts sleep furiously along the special, pending depende
2143	Customer#000002143	144228.2403	5373.42	INDONESIA	iSIlVncg,sc sQBHnywt4	19-861-895-7214	ver the unusual accounts. sile
1655	Customer#000001655	143207.1981	1214.81	ETHIOPIA	DjCE7uReh1B,,ikdShz9W3PCfqkJow	15-306-607-3769	s. special, bold requests haggle fluffily. carefull
353	Customer#000000353	142427.9929	3199.03	IRAN	eftGCmL4b5rAKdvUe9biJXzAH	20-733-644-2244	nal theodolites nag carefully. requests wake. slyly ironic ideas according to the blithely pe
575	Customer#000000575	142088.1555	3652.29	ARGENTINA	4K6h0pYH,bg2FS5cYL,qqejhvp7EfTlBjRjeVPkq	11-980-134-7627	 final requests cajole after the ironic, bold instructio
1276	Customer#000001276	141173.2266	-761.70	MOZAMBIQUE	c5UAVe71MPvmerPafNlpvTBWCewT	26-809-582-2064	 the blithely regular packages boost blithely regular excuses. final dep
1009	Customer#000001009	139691.3835	594.50	JAPAN	cWONXs2Vx30bkgYoCkx7LrJH,E	22-132-906-1117	ng to the stealthy, final courts cajole carefully alongside of the gifts? regular ideas above the furiously express 
1283	Customer#000001283	139667.0974	2222.71	ALGERIA	6JeLWEtDERPB,0KzWB,I6Xs8rJXAC8ryFulW5NPC	10-203-771-2219	 blithely daringly final theodolites. foxes ha
1418	Customer#000001418	139432.8355	9359.01	PERU	S5uBtE hDxHcHunowPDXKSxP3csMFnhYt	27-773-818-3164	ggle quickly blithely thin excuses. final, even accounts integrate slyly. carefully pending account
1384	Customer#000001384	138195.8318	1534.38	INDIA	bQI5haTy6PHM8MyRtKSlvU4ixAUg	18-788-299-9227	tes. regularly pending theodolites cajole even sheaves. stealthy, ironic ideas are furiously above the even p
1676	Customer#000001676	137492.3862	6504.47	ETHIOPIA	WgQKmlxIcGQz86n5sQMbWUu8cg7UG7W3r	15-612-997-6342	s. even asymptotes boost blithely
1850	Customer#000001850	137481.9972	722.28	IRAN	yY0Ihs9rn4Jt9qzowqGCKcGYUYVqrOpfKVArQK	20-451-644-7838	lly regular accounts. carefully regula
1324	Customer#000001324	136359.7917	7548.88	GERMANY	6qS1ZDpAYr9aED9Yh ggf8ACJcPi7sp	17-415-957-9976	t the busy courts sleep quietly above the ideas. final accounts after the regular, ironic pl
1499	Customer#000001499	136346.8928	9128.69	CANADA	4,6jWOEqfnuXkwhB7gs0M9TcWJlaJNv4bt	13-273-527-9609	ole blithely permanent instructions. carefully even packages
1007	Customer#000001007	136295.0043	7347.90	INDONESIA	PfH0lw8GzD7o	19-790-843-5283	 theodolites. ironic requests wake. thinly silent 
2162	Customer#000002162	136252.1098	3269.15	ETHIOPIA	vE2oIHArv4Kb46qAiyPJ0cVoBuv onFD0nQu	15-592-777-5405	ackages was carefully slyly ironic deco
2197	Customer#000002197	136085.0649	8458.37	ALGERIA	L0HH7L9SpDzDuyvsUBqnwhNscL0gmrLJM6	10-409-367-8789	final ideas sleep carefully quickly ironic deposits. slyly regular pinto beans wake alo
293	Customer#000000293	135472.3675	-43.79	BRAZIL	7ynwX7lZ3o2cmAWSkKAc3edKa 8yT	12-887-984-5485	ironic foxes are final packages. requests about the furiousl
2248	Customer#000002248	135265.7544	3453.28	ARGENTINA	oZUrUS,DlfH	11-890-560-6896	ar, even packages wake above the ironic requests. quickly express requests wake. pinto b
